order_month,total_revenue,total_orders,avg_order_value
2016-10,46566.71,265,165.13
2017-01,127545.67,750,159.63
2017-02,271298.65,1653,155.12
2017-03,414369.39,2546,153.47
2017-04,390952.18,2303,160.49
2017-05,567066.73,3546,149.74
2017-06,490225.6,3135,147.53
2017-07,566403.93,3872,136.58
2017-08,646000.61,4193,147.05
2017-09,701169.99,4150,160.41
2017-10,751140.27,4478,159.89
2017-11,1153528.05,7289,151.92
2017-12,843199.17,5513,147.18
2018-01,1078606.86,7069,146.73
2018-02,966510.88,6555,142.64
2018-03,1120678.0,7003,153.58
2018-04,1132933.95,6798,160.31
2018-05,1128836.69,6749,161.22
2018-06,1012090.68,6099,159.38
2018-07,1027903.86,6159,161.37
2018-08,985414.28,6351,150.79
